# Seize the Seas — COMMODITY TOKENS (trade goods / resources). Companion to water-tokens.csv.
# Auto-built from MfT-Launch/deploy/*.json by build-commodity-sheet.cjs on 2026-06-28. Re-run to refresh.
# All ERC20 on Base (chainId 8453), 18 decimals unless noted. Treasury/deployer 0xE2a4A8b9d77080c57799A94BA8eDeb2Dd6e0aC10.
category,symbol,name,address,decimals,notes
brick,BRICK,Brick,0x54652eA21113909a4792deF5607d8bD4be0B7aB4,18,gold=2
coin,COPPER,Copper Coin,0x0197896c617f20d61E73E06eC8b2A95eef176bee,18,
coin,GOLD,Gold Coin,0x2065d87b3a1FACc9A4fE037D7a58bC069F597004,18,
coin,SILVER,Silver Coin,0x36cF0ceDEee07b14C496f77C61d010268c31E0e9,18,
fish,FISH,Fish,0x907D043d33A243cd9818d6e2ccd5b3C9ef9905B5,18,Port Royal wall price=1g
food,ALE,Ale,0x102817fd347c1A8117dDB4f5a9A6D6E363D360F7,18,
food,APPLE,Apple,0xa7E88Ce1163e325Be877C54021da901A7DA8b170,18,
food,CINNAMON,Cinnamon,0x69a8d4AA5a9ee7965E583bC97288e2B325231b49,18,
food,COD,Cod,0xCdb48Fbea782D46b95426A6791cE9E1d2DDA7559,18,
food,FLOUR,Flour,0x111c5a52C3e631bf43e2e44DB001F08d20a9Ee73,18,
food,HONEY,Honey,0x92Cf60b74BD16aAb42f2C249e72E9860e83A765f,18,
food,JERKY,Jerky,0xA34Ce4E86D00d63a847Ec122B7E94D94c2A0FCa0,18,
food,PEPPER,Pepper,0x27A6c9B2D29A5f1716fc64D6c4913F8501099CC5,18,
food,RATIONS,Rations,0x0867653716D37DC9F13c5347A8Ca8fFF6CA95926,18,
food,RICE,Rice,0x00e466Fb90C8eF2e7BA1AA662a7c79C595906041,18,
food,SAFFRON,Saffron,0xc5e642378D39C24a549a5d6e9C8848771bBa2932,18,
food,SALT,Salt,0xdDCB77AA553718ACc88aA61ba1514EE267Cc6825,18,
food,WINE,Wine,0x796Ac66a177f0e18aaCd53D3Ac91c3329A48a7d1,18,
forageable,BEAR,Bear,0x2B2F708a98e5D8e6Bd15B197706e0cB0377D77B5,18,kind=meat; food=5; terrain=forest
forageable,BLKBRY,Blackberry,0x16C3ac67a9B739376D5fDCAF44D5Ba825579CD8b,18,kind=berry; food=1; terrain=forest|plains
forageable,BLUBRY,Blueberry,0x8874085006b89541fbbe69cF2F4B63c66051434C,18,kind=berry; food=1; terrain=forest|plains
forageable,CRAB,Crab,0xCc85d908a26bf34E5FdE5957378Fa90C92CD8217,18,kind=meat; food=3; terrain=water
forageable,ELK,Elk,0x298517a2cD44044cd9Ee7B9A111Fa038bDE48ff8,18,kind=meat; food=5; terrain=forest
forageable,FISH,Fish,0x907D043d33A243cd9818d6e2ccd5b3C9ef9905B5,18,kind=meat; food=3; terrain=water
forageable,PORK,Pork,0x676d5a1C8438A9955bbA636e496aebddA4c49a2D,18,kind=meat; food=4; terrain=plains
gear,ARMOR,Leather Armor,0x850c3D7cfaA8FD161d6b563A807844C7a164b37E,18,gold=10
gear,ARMORBREAST,Breastplate,0x936CFBbbbA0c54a783Cc39cD7eAadAAD312BfFF7,18,gold=200
gear,ARMORCHAINM,Chainmail,0x575612814A45327D4C4Ff4f76A15781CE9177638,18,gold=150
gear,ARMORCHAINS,Chain Shirt,0xF18e361015a2EaC801F4A1b50B2bDbD31e611740,18,gold=100
gear,ARMORHALFPL,Half-Plate,0xBC9999fE8555BB04196CEa35c6aa3E873ff37Ec3,18,gold=600
gear,ARMORHIDE,Hide Armor,0xB8a808411C37BE2Bf0aC027df6A403564E77db98,18,gold=15
gear,ARMORPLATE,Full Plate,0x13c72D9D196b32C6AF614df4Ba5B234163F8F66D,18,gold=1500
gear,ARMORRINGMA,Ring Mail,0xed0bcDc291482EfC0C5B70482a7bB3B932b9F198,18,gold=30
gear,ARMORSCALEM,Scale Mail,0x8eB7094c4634E88111E1F70ac8736a02f5D45F3b,18,gold=50
gear,ARMORSPLINT,Splint Mail,0xb647cC98B868a9008D9B27e4276ad4c0f5Bd73c5,18,gold=200
gear,ARMORSTUDDE,Studded Leather,0x4252c728e9A6B2AbB6A885A7E2b59fB4F78Ab7B1,18,gold=25
gear,BASTARDSWOR,Bastard Sword,0xdE0BF1AF8230E719e4b67e543cdCd37a0218d1Ca,18,gold=35
gear,BATTLEAXEBR,Bronze Battleaxe,0x3c40192304dbE7b48C3563929981d7936d1af63c,18,gold=20
gear,BATTLEAXEIR,Iron Battleaxe,0xfbeCaf8247a220a6F9839C4C3Edeb979281246c5,18,gold=10
gear,BATTLEAXEST,Steel Battleaxe,0x12c8df4397CE1E7E84868Ff6984B264d7E1610e2,18,gold=40
gear,BATTLEAXEWO,Wooden Battleaxe,0x85ef6781508775cF1BC7AF4d5a2459e2C32918B3,18,gold=5
gear,BLOWGUN,Blowgun,0xEeB9481150B256d9B6677422d474c1630777C392,18,gold=2
gear,BOLAS,Bolas,0x66989C63fE692fcbb39d9A45D707ea2f2E47C7a2,18,gold=5
gear,CLUBBRONZE,Bronze Club,0x11a32F6C5d01DCdB50aa64041413c4F5D0a44908,18,gold=1
gear,CLUBIRON,Iron Club,0x431153A3b7b0014722917D23797Cc6a172c3C322,18,gold=1
gear,CLUBSTEEL,Steel Club,0x07999E7544C67ffF1bac617C765978a9eb881811,18,gold=1
gear,CLUBWOODEN,Wooden Club,0x47CCe4872F4b8F740CBB10d7d7Cf2f882D56BF6A,18,gold=1
gear,CROSSBOWBRO,Bronze Crossbow,0xB96ae2663C19cdF26A9427607d8f98f09A46764D,18,gold=70
gear,CROSSBOWIRO,Iron Crossbow,0x8D8e1A7D501624964E66a3C7E81290f08EaE1D10,18,gold=35
