# SNAPSHOT (read-only) of water/endowment principal held per prize/market pool — Seize the Seas
# snapshot date: 2026-06-27  |  Base block: 47900580  (freshness anchor)
# held_usd = WaterV2.totalBacking() (USDC principal), cross-checked vs aUSDC balanceOf; yield_per_day_approx = held_usd x ~5% Aave APR / 365 (APPROXIMATE).
# rows grouped by pool_or_destination. Water only changes when WE change it (depositAndWater locks principal). Re-run build-water-held.cjs to refresh.
pool_or_destination,funding_water,water_address,payout_token,held_usd,yield_per_day_approx,feeds_what,status,note
BILGE,ALE water,0xcE0e3641282F733D16A1b79BD02fF4449610493D,GOLD,0.999999,0.00013699,BILGE (0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57),live,totalBacking() | WaterV2 ALEw payout=GOLD (clone of FISHw/GOLDw) via GOLD/Money wall 0x18A880F2 fee100; tree on SystemWaterHolder seat (non-pawn
BILGE,AMETHYST water,0xC4Efbc33398D8e94632b3d4f5945A6Af48798978,GOLD,0.999999,0.00013699,BILGE (0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57),100%),totalBacking() | live
BILGE,APPLE water,0xB29C4fD7F2dA43638E84a9BC1E1020b638d889DA,GOLD,0.999999,0.00013699,BILGE (0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57),live,totalBacking() | WaterV2 APPLEw payout=GOLD (clone of FISHw/GOLDw) via GOLD/Money wall 0x18A880F2 fee100; tree on SystemWaterHolder seat (non-pawn
BILGE,CINNAMON water,0x0A523e4273d13C62C8c17E056fd941Bc50374ca5,GOLD,0.999999,0.00013699,BILGE (0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57),live,totalBacking() | WaterV2 CINNAMONw payout=GOLD (clone of FISHw/GOLDw) via GOLD/Money wall 0x18A880F2 fee100; tree on SystemWaterHolder seat (non-pawn
BILGE,COD water,0xE1EeE1bEE82633588afbC5Be4E05a96b3Bc32806,GOLD,0.999999,0.00013699,BILGE (0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57),live,totalBacking() | WaterV2 CODw payout=GOLD (clone of FISHw/GOLDw) via GOLD/Money wall 0x18A880F2 fee100; tree on SystemWaterHolder seat (non-pawn
BILGE,EMERALD water,0x14f4e2DF9739e0FD5b9E8319c41Ffd9DA1618A21,GOLD,0.999999,0.00013699,BILGE (0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57),100%),totalBacking() | live
BILGE,HONEY water,0xE69557a342A113e367C857B877C9c213f9e72009,GOLD,0.999999,0.00013699,BILGE (0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57),live,totalBacking() | WaterV2 HONEYw payout=GOLD (clone of FISHw/GOLDw) via GOLD/Money wall 0x18A880F2 fee100; tree on SystemWaterHolder seat (non-pawn
BILGE,JERKY water,0xc01E4EF9577177b0865Bf341A40Fa3d998c57178,GOLD,0.999999,0.00013699,BILGE (0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57),live,totalBacking() | WaterV2 JERKYw payout=GOLD (clone of FISHw/GOLDw) via GOLD/Money wall 0x18A880F2 fee100; tree on SystemWaterHolder seat (non-pawn
BILGE,RATIONS water,0x7A189c83E976407255cAAd9D4bEa37eB8c70d64A,GOLD,0.999999,0.00013699,BILGE (0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57),live,totalBacking() | WaterV2 RATIONSw payout=GOLD (clone of FISHw/GOLDw) via GOLD/Money wall 0x18A880F2 fee100; tree on SystemWaterHolder seat (non-pawn
BILGE,SALT water,0x8F36b0A058Dc10A8Abd518D81da82dF2B56BA8c1,GOLD,0.999999,0.00013699,BILGE (0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57),live,totalBacking() | WaterV2 SALTw payout=GOLD (clone of FISHw/GOLDw) via GOLD/Money wall 0x18A880F2 fee100; tree on SystemWaterHolder seat (non-pawn
