category,type,name,address,chain,file,context
"Crew","nft","distributor","0x2E2AB7ae48876f1b4497A04d864C025f7DF58e1f","base","crew-distributors-deployed.json","{""ship"":""The Black Tide"",""species"":""Orc"",""token"":""BLACKTIDE""}"
"Crew","token","tokenAddr","0x8823E5c30a7EC507379e01aeD8F81e0A9Ef787a7","base","crew-distributors-deployed.json","{""ship"":""The Black Tide"",""species"":""Orc"",""token"":""BLACKTIDE""}"
"Crew","nft","distributor","0x9500880DEC9B310b4a728C75A271a25615A2443E","base","crew-distributors-deployed.json","{""ship"":""Sol del Mar"",""species"":""Elf"",""token"":""SOLM""}"
"Crew","nft","distributor","0x4ECe491951B759363bCBAF75389a202Fe0584080","base","crew-distributors-deployed.json","{""ship"":""Redrum Raiders"",""species"":""Goblin"",""token"":""REDRUM""}"
"Crew","nft","distributor","0x8C1f935F6DbB17d593BF3EC8114A2f045e350545","base","crew-distributors-deployed.json","{""ship"":""Harbor Guard"",""species"":""Human"",""token"":""GUARD""}"
"Crew","contract","pawnMarket","0x63B44FB9F493905383F8B6FBDe67565b30C922A8","base","pawnmarket-deployed.json",""
"Crew","nft","crew","0x2E2AB7ae48876f1b4497A04d864C025f7DF58e1f","base","pawnmarket-deployed.json",""
"Crew","token","usdc","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","base","pawnmarket-deployed.json",""
"Crew","contract","seller","0xE2a4A8b9d77080c57799A94BA8eDeb2Dd6e0aC10","base","pawnmarket-deployed.json",""
"Crew","contract","devWallet","0x0780b1456D5E60CF26C8Cd6541b85E805C8c05F2","base","pawnmarket-deployed.json",""
