category,type,name,address,chain,file,context
"Location LP","pool","COPPER","0x7D842E5059e354E27A791f658BECceEe59feBaF5","base","coin-money-walls-deployed.json","{""sym"":""COPPER"",""fee"":100,""tickLower"":-368432,""tickUpper"":887272,""wall"":""200000000000"",""priceUsd"":0.0001}"
"Location LP","pool","SILVER","0x49F384e64D8FB67eA7cb74067245f6f9fe7C8a52","base","coin-money-walls-deployed.json","{""sym"":""SILVER"",""fee"":100,""tickLower"":-345405,""tickUpper"":887272,""wall"":""20000000000"",""priceUsd"":0.001}"
"Location LP","pool","GOLD","0x18A880F2EDe190B1dad8D11f8A22F1B273c16A08","base","coin-money-walls-deployed.json","{""sym"":""GOLD"",""fee"":100,""tickLower"":-322378,""tickUpper"":887272,""wall"":""2000000000"",""priceUsd"":0.01}"
"Location LP","pool","pool","0x89f3cA1Cb642bf55A3118CF8d9406C97003dbBF6","base","coin-pools-deployed.json","{""pair"":""COPPER/SILVER"",""fee"":100,""tickLower"":-23048,""tickUpper"":-23007}"
"Location LP","pool","token0","0x0197896c617f20d61E73E06eC8b2A95eef176bee","base","coin-pools-deployed.json","{""pair"":""COPPER/SILVER"",""fee"":100,""tickLower"":-23048,""tickUpper"":-23007}"
"Location LP","pool","token1","0x36cF0ceDEee07b14C496f77C61d010268c31E0e9","base","coin-pools-deployed.json","{""pair"":""COPPER/SILVER"",""fee"":100,""tickLower"":-23048,""tickUpper"":-23007}"
"Location LP","pool","pool","0x0A180f3926d481A7242191CbE142cbeD75c7bcae","base","coin-pools-deployed.json","{""pair"":""SILVER/GOLD"",""fee"":100,""tickLower"":23006,""tickUpper"":23047}"
"Location LP","pool","token0","0x2065d87b3a1FACc9A4fE037D7a58bC069F597004","base","coin-pools-deployed.json","{""pair"":""SILVER/GOLD"",""fee"":100,""tickLower"":23006,""tickUpper"":23047}"
"Location LP","pool","pool","0xCA6e79A7c7714a97c5Bf6f086dDc9a2A264A69c6","base","coin-pools-deployed.json","{""pair"":""COPPER/GOLD"",""fee"":100,""tickLower"":-46075,""tickUpper"":-46034}"
"Location LP","pool","token1","0x2065d87b3a1FACc9A4fE037D7a58bC069F597004","base","coin-pools-deployed.json","{""pair"":""COPPER/GOLD"",""fee"":100,""tickLower"":-46075,""tickUpper"":-46034}"
"Location LP","pool","pool","0xdEe5f0BD8006F15FbD4F3c1543A615C45e48B313","base","gem-peg-pools-deployed.json","{""pair"":""GOLD/PLATINUM"",""fee"":100,""tickLower"":-23058,""tickUpper"":-22997}"
"Location LP","pool","token0","0x2065d87b3a1FACc9A4fE037D7a58bC069F597004","base","gem-peg-pools-deployed.json","{""pair"":""GOLD/PLATINUM"",""fee"":100,""tickLower"":-23058,""tickUpper"":-22997}"
"Location LP","pool","token1","0x6722ef27d1854E73269b0abE42290C000D3EfddA","base","gem-peg-pools-deployed.json","{""pair"":""GOLD/PLATINUM"",""fee"":100,""tickLower"":-23058,""tickUpper"":-22997}"
"Location LP","pool","pool","0x984290A07c8AFC644f1676a42C55a8df9B743c7E","base","gem-peg-pools-deployed.json","{""pair"":""PLATINUM/AMETHYST"",""fee"":100,""tickLower"":-23058,""tickUpper"":-22997}"
"Location LP","pool","token0","0x6722ef27d1854E73269b0abE42290C000D3EfddA","base","gem-peg-pools-deployed.json","{""pair"":""PLATINUM/AMETHYST"",""fee"":100,""tickLower"":-23058,""tickUpper"":-22997}"
"Location LP","pool","token1","0xC5a9BC41936EF545DE210727FedCf8a43aEFa95F","base","gem-peg-pools-deployed.json","{""pair"":""PLATINUM/AMETHYST"",""fee"":100,""tickLower"":-23058,""tickUpper"":-22997}"
"Location LP","pool","pool","0xEcE2b217AC80832A2b86EaB3EAAdb0f501676D3F","base","gem-peg-pools-deployed.json","{""pair"":""AMETHYST/RUBY"",""fee"":100,""tickLower"":-23058,""tickUpper"":-22997}"
