category,type,name,address,chain,file,context
"Token","token","token","0x8823E5c30a7EC507379e01aeD8F81e0A9Ef787a7","base","black-tide-deployed.json",""
"Token","token","reactor","0xD186C5c730ECe24401E436FCF7Daffa5D1901123","base","black-tide-deployed.json",""
"Token","token","Brick","0x54652eA21113909a4792deF5607d8bD4be0B7aB4","base","brick-deployed.json","{""id"":""brick"",""name"":""Brick"",""symbol"":""BRICK"",""decimals"":18,""gold"":2,""whole"":""100000000000"",""supplyWei"":""100000000000000000000000000000""}"
"Location LP","token","money","0xe3dd3881477c20C17Df080cEec0C1bD0C065A072","base","coin-money-walls-deployed.json","{""chain"":""base"",""chainId"":8453,""deployedAt"":""2026-06-24T11:52:23.602Z""}"
"Location LP","token","COPPER","0x0197896c617f20d61E73E06eC8b2A95eef176bee","base","coin-money-walls-deployed.json","{""sym"":""COPPER"",""fee"":100,""tickLower"":-368432,""tickUpper"":887272,""wall"":""200000000000"",""priceUsd"":0.0001}"
"Location LP","token","SILVER","0x36cF0ceDEee07b14C496f77C61d010268c31E0e9","base","coin-money-walls-deployed.json","{""sym"":""SILVER"",""fee"":100,""tickLower"":-345405,""tickUpper"":887272,""wall"":""20000000000"",""priceUsd"":0.001}"
"Location LP","token","GOLD","0x2065d87b3a1FACc9A4fE037D7a58bC069F597004","base","coin-money-walls-deployed.json","{""sym"":""GOLD"",""fee"":100,""tickLower"":-322378,""tickUpper"":887272,""wall"":""2000000000"",""priceUsd"":0.01}"
"Token","token","impactRouter","0xBd4c11f5dA711101C0a09122746C37aeDdeEf918","base","crate-deployed.json","{""network"":""base"",""chainId"":8453,""token"":""CRATE"",""stat"":""STR"",""impactToken"":""CCC"",""launchTx"":""0xffa35ca88aedbeca0a64686753253cc93813c488ca63468e7ad53d31fd88a072""}"
"Token","token","launchpad","0xc0b891c9A56aF3Eb4cEB9B34CC9c3cE3E8C7074b","base","crate-deployed.json","{""network"":""base"",""chainId"":8453,""token"":""CRATE"",""stat"":""STR"",""impactToken"":""CCC"",""launchTx"":""0xffa35ca88aedbeca0a64686753253cc93813c488ca63468e7ad53d31fd88a072""}"
"Token","token","crateToken","0x48aE78d708B9b06Fa514f2cA39Dbd1dBEc981F9A","base","crate-deployed.json","{""network"":""base"",""chainId"":8453,""token"":""CRATE"",""stat"":""STR"",""impactToken"":""CCC"",""launchTx"":""0xffa35ca88aedbeca0a64686753253cc93813c488ca63468e7ad53d31fd88a072""}"
"Token","token","reactor","0xfD13d3586d09878160c6565fF80a933106120f80","base","crate-deployed.json","{""network"":""base"",""chainId"":8453,""token"":""CRATE"",""stat"":""STR"",""impactToken"":""CCC"",""launchTx"":""0xffa35ca88aedbeca0a64686753253cc93813c488ca63468e7ad53d31fd88a072""}"
"Token","token","Salt","0xdDCB77AA553718ACc88aA61ba1514EE267Cc6825","base","foods-deployed.json","{""name"":""Salt"",""decimals"":18,""whole"":""1000000000000"",""supplyWei"":""1000000000000000000000000000000""}"
"Token","token","Honey","0x92Cf60b74BD16aAb42f2C249e72E9860e83A765f","base","foods-deployed.json","{""name"":""Honey"",""decimals"":18,""whole"":""100000000000"",""supplyWei"":""100000000000000000000000000000""}"
"Token","token","Rations","0x0867653716D37DC9F13c5347A8Ca8fFF6CA95926","base","foods-deployed.json","{""name"":""Rations"",""decimals"":18,""whole"":""20000000000"",""supplyWei"":""20000000000000000000000000000""}"
"Token","token","Apple","0xa7E88Ce1163e325Be877C54021da901A7DA8b170","base","foods-deployed.json","{""name"":""Apple"",""decimals"":18,""whole"":""10000000000"",""supplyWei"":""10000000000000000000000000000""}"
"Token","token","Cinnamon","0x69a8d4AA5a9ee7965E583bC97288e2B325231b49","base","foods-deployed.json","{""name"":""Cinnamon"",""decimals"":18,""whole"":""10000000000"",""supplyWei"":""10000000000000000000000000000""}"
"Token","token","Cod","0xCdb48Fbea782D46b95426A6791cE9E1d2DDA7559","base","foods-deployed.json","{""name"":""Cod"",""decimals"":18,""whole"":""2000000000"",""supplyWei"":""2000000000000000000000000000""}"
"Token","token","Jerky","0xA34Ce4E86D00d63a847Ec122B7E94D94c2A0FCa0","base","foods-deployed.json","{""name"":""Jerky"",""decimals"":18,""whole"":""1430000000"",""supplyWei"":""1430000000000000000000000000""}"
"Token","token","Ale","0x102817fd347c1A8117dDB4f5a9A6D6E363D360F7","base","foods-deployed.json","{""name"":""Ale"",""decimals"":18,""whole"":""1250000000"",""supplyWei"":""1250000000000000000000000000""}"
"Token","token","Pepper","0x27A6c9B2D29A5f1716fc64D6c4913F8501099CC5","base","foods-deployed.json","{""name"":""Pepper"",""decimals"":18,""whole"":""333000000"",""supplyWei"":""333000000000000000000000000""}"
